DATE,OPEN,HIGH,LOW,CLOSE
14-09-1988,0.372768,0.378348,0.370536,0.375
15-09-1988,0.375,0.381696,0.370536,0.371652
16-09-1988,0.370536,0.381696,0.36942,0.377232
19-09-1988,0.375,0.377232,0.368304,0.372768
20-09-1988,0.372768,0.377232,0.36942,0.370536
21-09-1988,0.372768,0.383929,0.370536,0.381696
22-09-1988,0.383929,0.392857,0.381696,0.392857
23-09-1988,0.388393,0.395089,0.388393,0.390625
26-09-1988,0.390625,0.392857,0.379464,0.381696
27-09-1988,0.379464,0.388393,0.379464,0.387277
28-09-1988,0.388393,0.393973,0.386161,0.388393
29-09-1988,0.390625,0.395089,0.388393,0.392857
30-09-1988,0.392857,0.392857,0.386161,0.386161
03-10-1988,0.383929,0.386161,0.375,0.379464
04-10-1988,0.377232,0.381696,0.367188,0.370536
05-10-1988,0.368304,0.372768,0.361607,0.364955
06-10-1988,0.361607,0.364955,0.350446,0.354911
07-10-1988,0.348214,0.354911,0.342634,0.354911
10-10-1988,0.352679,0.354911,0.334821,0.34375
11-10-1988,0.341518,0.352679,0.341518,0.348214
12-10-1988,0.34375,0.348214,0.339286,0.345982
13-10-1988,0.34375,0.354911,0.34375,0.348214
14-10-1988,0.352679,0.352679,0.340402,0.345982
17-10-1988,0.34375,0.348214,0.341518,0.34375
18-10-1988,0.348214,0.352679,0.341518,0.351563
19-10-1988,0.354911,0.363839,0.352679,0.357143
20-10-1988,0.357143,0.371652,0.357143,0.370536
21-10-1988,0.368304,0.372768,0.363839,0.366071
24-10-1988,0.368304,0.368304,0.353795,0.357143
25-10-1988,0.359375,0.359375,0.354911,0.356027
26-10-1988,0.357143,0.357143,0.34375,0.350446
27-10-1988,0.345982,0.350446,0.341518,0.348214
28-10-1988,0.348214,0.352679,0.34375,0.34375
31-10-1988,0.345982,0.345982,0.334821,0.344866
01-11-1988,0.34375,0.345982,0.337054,0.339286
02-11-1988,0.341518,0.341518,0.328125,0.332589
03-11-1988,0.332589,0.334821,0.328125,0.331473
04-11-1988,0.328125,0.339286,0.328125,0.337054
07-11-1988,0.332589,0.337054,0.330357,0.334821
08-11-1988,0.334821,0.345982,0.333705,0.34375
09-11-1988,0.341518,0.351563,0.339286,0.350446
10-11-1988,0.352679,0.354911,0.348214,0.352679
11-11-1988,0.348214,0.353795,0.34375,0.34375
14-11-1988,0.345982,0.348214,0.341518,0.347098
